Simples,Novo,Hwloc,Matriz
135.439,102.44,220.344,34.3148
105.671,121.319,239.51,33.6218
107.888,105.588,215.496,47.3819
110.819,119.049,212.543,42.5569
105.019,109.121,232.888,35.4342
105.249,105.185,234.835,34.4856
104.971,113.175,263.874,33.4806
106.615,111.309,214.01,39.8221
104.672,104.176,209.404,33.7979
102.877,100.168,214.919,33.1127
107.513,101.836,205.909,33.2018
121.502,109.295,231.253,34.024
102.371,106.279,311.978,33.1691
102.978,100.843,232.839,33.2988
105.12,102.063,213.004,33.3369
123.437,101.547,213.417,33.255
105.18,100.076,233.934,32.9893
103.622,100.961,220.814,32.9412
104.792,139.792,208.02,33.7989
125.527,113.222,218.076,33.2749
145.214,100.555,320.62,33.3534
104.715,109.689,250.647,32.8536
102.856,103.8,206.243,35.2252
105.529,137.191,216.103,33.7396
134.929,100.761,222.841,34.1195
136.785,100.145,270.396,33.3836
102.114,102.223,205.942,33.4563
104.345,105.3,266.337,37.8422
105.225,117.92,287.781,44.7086
111.823,139.248,251.46,52.4632
146.148,147.969,328.509,54.4344
142.301,141.953,353.437,52.732
147.683,142.476,350.699,55.0216
149.709,113.382,184.586,38.551
154.759,89.3125,156.773,37.9842
147.716,88.9538,217.576,36.7779
81.6465,70.7026,138.231,33.0135
74.8843,67.0949,248.45,33.6833
75.2613,66.123,244.052,33.8446
106.15,109.18,206.167,34.0809
106.227,132.814,216.904,34.1084
105.102,131.265,220.945,38.6378
142.07,100.751,335.286,33.0997
102.478,110.079,213.553,33.927
104.33,106.088,209.317,33.9751
107.496,124.43,210.502,34.5285
111.748,100.174,219.381,35.6714
107.489,100.635,212.526,33.6958
103.893,101.024,262.13,49.9787
103.474,130.434,207.092,51.1011
106.041,135.127,208.876,51.7998
145.097,101.114,267.134,46.4534
122.197,102.436,270.014,33.453
104.372,101.076,206.178,33.2395
105.191,136.895,249.998,34.128
113.434,100.26,220.108,32.9944
135.976,101.016,270.141,33.874
102.708,103.291,324.083,53.4061
106.728,109.528,244.799,52.2878
103.538,104.349,326.503,53.2443
147.961,142.008,208.373,33.2283
146.233,144.082,208.38,33.606
147.119,115.879,206.147,38.9794
105.41,135.094,212.207,54.9797
103.011,141.596,215.823,54.8236
132.311,117.246,333.215,54.0694
119.848,104.965,252.389,34.6128
108.792,110.503,213.993,37.3521
103.319,137.972,208.492,34.5438
139.185,107.917,211.314,33.8708
140.872,102.056,300.595,35.0752
102.643,102.97,212.125,33.5803
103.032,124.207,223.038,51.7108
104.088,145.298,208.148,49.5111
105.306,135.225,214.27,34.7903
102.923,100.768,224.088,34.2608
110.168,103.559,205.26,33.9476
111.111,102.593,216.093,34.8426
105.475,102.171,207.798,33.6838
105.485,101.002,290.405,33.8348
107.258,108.023,268.173,33.7673
111.321,133.208,205.757,50.7073
103.059,136.04,208.144,51.246
106.184,135.405,243.749,52.6267
124.568,102.466,275.569,33.6819
103.207,102.419,219.21,33.0685
109.798,102.889,221.866,34.4068
105.046,110.611,229.862,33.6288
108.903,131.672,235.042,33.467
147.028,145.455,232.111,40.1728
105.331,104.565,207.468,33.6251
102.744,104.354,222.146,33.9643
105.757,119.123,243.409,39.2279
110.452,109.679,204.885,50.8219
104.105,100.923,209.681,50.31
103.757,100.402,313.976,43.1821
103.342,100.033,286.797,34.8668
102.877,109.079,206.434,34.3322
105.55,138.081,215.69,46.377
158.065,89.2416,149.326,24.2559
134.856,90.1435,161.584,24.0914
122.527,89.1221,221.819,24.0242
74.2751,66.2563,268.533,35.3222
71.2709,96.2847,325.205,34.2864
70.2897,103.047,228.74,35.2276
105.705,100.634,212.844,33.1184
135.087,101.126,220.886,33.7247
119.229,102.891,236.024,33.0736
111.815,103.858,211.506,33.5518
103.357,112.692,211.145,33.5574
106.225,102.802,206.018,33.2219
109.766,136.24,212.119,50.2289
103.969,137.042,208.365,50.2555
139.744,110.513,315.53,35.5768
103.922,100.276,289.449,35.2732
103.157,103.341,208.155,34.6161
115.621,132.661,207.718,35.331
137.503,100.817,212.832,50.4084
145.64,109.224,309.691,33.9962
106.525,101.053,251.049,33.4063
103.475,123.152,214.332,40.1747
107.003,122.907,213.368,47.7188
104.914,100.485,214.433,44.9086
102.532,106.243,219.541,33.2098
102.361,102.753,215.413,34.0102
110.987,104.917,215.49,33.8865
105.346,103.7,215.089,33.6315
105.087,100.152,207.008,33.0862
109.194,100.262,209.316,33.6536
127.463,105.803,206.415,33.3701
152.887,100.1,318.832,33.4638
145.438,109.738,235.224,35.2728
102.47,134.752,335.969,33.268
102.878,143.856,315.449,33.7794
105.93,121.832,279.617,34.0465
108.976,104.564,210.343,33.4796
102.984,120.922,227.651,35.7726
105.399,137.281,222.879,42.7299
144.422,102.776,212.7,34.0053
103.06,113.06,233.077,33.7047
102.98,101.929,217.288,33.8058
104.002,115.104,208.355,41.2476
106.897,108.639,208.174,34.2786
107.629,100.947,213.778,33.7537
104.766,130.405,347.217,54.7676
102.877,142.825,305.599,49.0044
105.249,143.71,297.244,46.536
108.076,84.6627,164.113,23.2346
105.171,73.4058,224.138,21.8344
105.464,72.1281,192.363,21.9341
