Simples,Novo,Hwloc,Matriz
3169.96,2723.1,6899.89,1257.26
3079.05,2893,8290.27,1126.79
3218.23,2829.07,6887.39,1111.87
3251.93,1754.64,8155.55,1285.83
3248.72,1581.88,6962.29,1745.4
2799.01,2773.6,7249.32,1082.22
3249.38,2943.57,7098.22,1124.19
3157.8,2262.76,7377.03,1096.17
3130.83,1655.29,7108.18,1233.02
3240.48,2784.62,7090.38,1310.02
3025.36,2687.37,6875.88,1188.46
3332.79,3025.54,7005.39,1208.84
3057.56,2777.51,6973.62,1719.82
3251.06,2866.94,7170.85,1135.03
3127.95,2759.84,7081.31,843.13
2254.99,2875.78,7044.82,1082.01
3363.82,2907.57,7873.54,1065.55
3078.17,2668.83,7070.78,1247.89
3238.24,2828.05,7250.12,1201.83
3017.23,2692.35,7489.97,1186.81
3320.09,3025.44,7704.96,1169.41
3139.61,2906.73,7452.4,1112.91
3189.49,2785.4,7390.53,1348.35
3136.74,3199.07,7720.15,1218.19
3198.17,2851.91,6703.68,1225.92
2957.63,2884.58,7243.09,1293.81
3218.83,2951.26,6934.31,1216.18
3072.88,1592.97,7058.84,1287.13
3557.83,2011.96,7017.74,1321.58
2639.73,2943.65,7186.54,1155.61
3067.97,2861.98,7403.86,1024.34
3204.04,3010.93,7526.27,1033.05
3068.55,2845.38,6948.91,1236.23
3215.92,2940.79,7061.02,1244.85
3221.04,2679.17,7053.5,1177.04
3221.13,2957.17,7195.07,1331.13
3012.45,2791.51,7293.87,1516.35
3201.4,2982.92,7179.63,1291.46
3163.09,2771.57,7587.49,1266.73
3215.56,2729.94,6790.69,1117.38
3104.24,2946.47,6833.8,1103.76
3017.16,2726.7,6695.87,1106.46
3097.23,2700.91,6988.02,1094.36
3009.98,2640.3,6505.56,1405.1
3869.78,2799.42,6595.54,1108.22
3028.71,2744.11,6455.11,956.421
2985.31,2826.31,6618.52,859.465
2007,2876.69,6897.65,1107.36
3448.14,2832.21,6712.43,1109.45
3097.58,2710.56,6872.87,1130.38
3098.99,2781.34,7324.36,1249.9
2762.6,2739.63,5817.53,1105.29
3019.44,2781.88,7013.61,1112.18
3106.43,2730.45,7065.75,1107.21
3147.58,2697.53,7393.83,1129.85
3112.41,2389.57,6620.26,1136.89
3006.55,2868.73,6818.33,1103.45
3118.02,2846.53,7171.31,1158.48
3009.41,2742.91,7258.78,1176.44
3102.11,2821.64,7215.57,1125.84
3288.8,2571.95,7157.94,1128.13
3173.32,2788.1,7610.42,1230.86
3009.98,2699.77,7561.79,1083.8
3273.23,2906.2,6795.4,1076.07
3168.93,2806.07,6915.16,1246.03
3478.06,2891.17,7015.48,1422.72
