Simples,Novo,Hwloc,Matriz
72.0833,72.1574,149.585,26.1637
82.3032,72.7659,154.46,26.2071
70.0673,72.1565,173.183,32.5026
70.677,72.4223,160.98,25.8538
70.2907,72.3369,153.541,25.9535
70.2548,72.7556,165.213,26.1455
85.5806,72.3449,149.265,25.9395
86.1837,73.2542,166.53,26.3166
69.9564,78.9419,170.369,26.5194
69.433,77.6368,158.108,25.9195
69.5383,72.212,167.853,26.1805
71.3665,72.466,159.795,26.1926
71.1604,72.3043,171.445,26.0086
75.0059,72.0922,168.37,32.2653
69.4945,72.5136,158.149,26.3716
69.5485,74.1055,168.487,25.8594
70.1755,77.3921,172.782,26.3176
69.9629,72.3197,159.275,26.8368
81.8273,73.0025,529.888,86.9309
102.328,73.0268,508.517,85.258
71.745,76.6686,542.863,84.7719
232.928,315.387,503.678,114.605
242.432,239.372,535.019,84.9625
226.341,251.584,514.383,84.5759
229.31,233.189,541.7,84.308
233.441,234.62,535.024,83.5655
246.307,239.761,520.422,111.77
226.492,325.146,526.055,91.8351
236.39,255.585,531.04,84.267
246.348,293.659,509.308,95.3995
226.431,254.367,542.724,85.7096
229.508,233.017,609.142,84.5798
233.284,244.482,531.432,91.6719
248.697,242.553,568.474,88.2966
226.298,252.675,529.148,84.7224
232.965,232.915,566.461,84.2921
241.782,233.496,519.476,84.4763
226.345,259.75,508.941,84.9969
228.62,240.623,530.818,85.0319
226.71,234.76,515.357,89.1613
237.733,232.818,537.462,87.9224
231.02,252.423,632.325,85.3246
323.781,237.314,529.117,109.988
275.57,235.419,546.192,84.775
234.437,258.451,525.792,85.0277
228.263,233.136,535.779,128.657
226.053,235.019,525.902,137.002
250.959,241.003,507.545,94.9935
226.933,245.889,518.559,83.8689
232.97,234.339,516.539,85.2925
233.343,234.964,530.2,84.6707
260.384,232.79,554.186,75.1462
225.944,256.975,494.727,66.7616
227.837,234.285,473.004,60.9453
170.243,223.625,330.311,48.0126
161.321,153.35,308.913,47.1707
164.393,154.414,299.36,47.2896
144.699,121.84,332.944,38.8238
123.052,122.492,245.359,51.8823
117.703,122.507,226.352,84.4501
254.864,232.515,540.372,84.5285
226.244,259.656,501.827,86.9915
227.957,234.72,562.364,87.0521
229.393,260.329,512.138,85.7362
253.25,255.201,568.031,85.3964
290.736,234.451,536.715,85.8248
224.774,241.251,511.37,111.263
236.142,233.482,538.587,84.2889
225.833,264.014,513.657,85.451
227.335,233.832,529.903,85.5935
227.51,234.378,541.497,84.9448
241.808,316.151,508.491,125.044
227.158,258.294,656.423,84.4213
240.041,234.261,554.943,84.2078
226.37,234.143,519.515,89.5963
234.688,248.831,641.573,84.6795
227.374,239.903,513.395,84.4613
225.297,235.292,523.404,85.8854
242.621,236.892,529.453,84.9116
232.586,255.302,509.222,86.3044
228.268,233.422,539.971,86.895
226.755,242.605,499.441,92.6121
251.248,233.303,590.667,84.742
232.623,263.163,570.217,84.5336
227.82,318.913,784.624,55.4008
225.489,326.571,616.772,57.2945
322.072,323.688,362.654,54.9611
148.156,147.576,599.678,130.816
146.16,206.605,536.205,107.074
148.44,287.61,577.774,92.5538
233.871,278.419,546.75,84.4921
227.354,236.486,536.562,85.8448
225.241,234.44,521.563,85.1415
249.433,254.977,537.937,87.5238
232.292,239.041,509.069,86.2938
225.197,235.798,526.139,84.0894
225.697,232.559,508.916,80.3856
332.154,249.5,446.669,60.5603
228.018,241.325,371.127,55.98
154.399,142.471,495.887,92.9457
149.766,219.949,521.069,84.6431
147.808,240.197,530.516,85.3185
227.731,237.353,756.194,93.0377
228.952,235.551,528.752,84.776
235.972,258.064,549.232,86.8474
238.445,234.134,519.059,102.46
246.99,237.757,536.554,84.296
233.474,252.942,514.202,92.048
228.7,238.685,551.228,87.6241
226.494,235.765,644.597,108.9
248.501,233.008,523.694,84.6511
233.431,250.795,542.082,84.7881
228.065,238.755,534.349,85.5967
225.089,232.667,505.253,84.8343
250.852,229.096,532.185,84.8487
234.109,223.096,502.458,86.6377
228.139,212.91,668.415,85.5624
225.791,262.101,506.921,85.7791
245.594,323.42,519.031,85.4696
232.883,245.72,534.259,86.5976
226.077,241.102,522.695,93.839
252.021,233.136,541.713,84.8851
225.392,253.191,540.27,85.6822
319.438,242.526,524.436,85.0319
234.111,233.697,532.396,106.953
250.384,243.11,518.342,84.4885
235.923,245.811,548.515,84.9644
229.162,247.673,526.937,85.1689
230.106,234.725,523.542,85.1167
244.909,324.482,579.506,84.2712
232.941,232.347,520.726,85.3931
236.77,244.08,581.559,84.7378
247.113,259.014,532.14,84.5186
330.068,234.232,562.312,85.0082
259.661,241.666,537.372,84.4824
247.628,232.41,577.703,84.5318
227.486,287.25,520.534,85.0818
235.021,294.613,586.175,85.4374
242.328,232.255,517.747,85.1773
231.706,252.915,564.339,92.5356
233.385,232.892,536.905,86.2354
210.867,174.505,622.9,86.1538
216.814,231.902,522.36,84.7303
202.916,250.997,593.198,84.4698
234.507,234.581,563.915,144.543
226.039,241.875,550.284,101.563
251.563,233.139,619.994,84.9732
236.415,232.69,532.702,133.87
225.802,240.484,682.206,134.536
248.812,232.307,697.683,138.606
