Simples,Novo,Hwloc,Matriz
687.977,537.293,1714.99,229.226
684.417,540.375,1746.19,229.116
686.831,539.773,1710.52,229.835
685.453,545.655,1730.88,231.663
689.354,536.02,1713.91,229.171
696.502,536.857,1710.18,238.745
715.673,540.498,1705.27,233.221
715.124,536.998,1741.54,230.717
684.917,542.92,1702.41,231.76
683.629,549.766,1694.89,237.052
683.389,538.073,1703.35,230.423
686.878,539.524,1705.08,230.266
719.195,537.847,1703.67,232.633
689.199,536.311,1704.48,232.388
698.168,541.638,1713.47,229.274
684.521,545.349,1717.28,233.776
687.098,536.55,1713.62,231.809
683.902,536.914,1708.49,229.974
686.223,537.263,1705.48,232.263
688.459,536.357,1699.06,234.108
683.581,538.222,1700.83,231.287
685.031,550.23,1703.93,230.045
684.383,542.929,1706.21,232.018
686.41,537.687,1717.77,229.583
686.461,535.96,1715.39,228.855
685.511,539.116,1708.08,229.804
687.397,538.636,1727.1,230.725
689.158,545.513,1705.81,230.02
692.686,539.754,1702.52,228.754
720.528,541.563,1702.93,233.186
686.265,538.787,1702.73,234.003
694.579,544.354,1704.04,231.452
687.715,562.487,1720.64,232.069
687.237,536.795,1710.48,234.279
687.585,549.281,1703.41,229.871
686.196,543.476,1707.66,231.207
684.997,541.472,1713.32,228.643
684.559,537.286,1704.58,230.467
686.726,537.791,1698.09,231.247
685.25,542.856,1701.97,229.861
686.677,553.132,1706.42,233.191
685.058,539.598,1709.48,233.208
687.14,541.405,1709.46,241.384
685.191,538.339,1733.37,231.84
687.862,537.189,1737.49,236.714
689.901,539.378,1712.44,233.833
707.277,536.958,1706.55,230.098
701.311,539.62,1699.74,228.166
688.497,538.816,1703.57,231.227
684.296,558.707,1718.4,235.695
688.186,551.18,1705.1,227.867
686.998,538.636,1704.61,230.313
703.608,539.477,1698.01,232.638
687.437,540.469,1722.96,229.804
685.852,559.013,1706.93,230.02
686.024,562.587,1704.46,231.286
687.037,539.481,1706.65,231.752
684.85,537.26,1714.56,233.232
686.693,538.547,1704.88,228.409
687.884,549.176,1716.96,235.373
693.318,539.053,1727.08,245.624
690.082,562.237,1708.07,231.81
684.713,541.306,1815.09,228.854
688.918,557.79,1712.23,230.135
686.618,543.009,1707.41,231.824
688.366,538.777,1703.33,229.645
684.71,537.712,1723.9,230.99
692.51,538.061,1760.75,230.554
688.841,540.966,1702.51,236.494
684.855,540.88,1698.51,229.084
688.915,538.734,1718.44,229.596
685.174,537.473,1699.51,233.454
685.193,537.101,1739.65,228.526
690.678,538.848,1703.68,228.285
686.508,543.046,1709.33,236.022
686.352,555.405,1722.4,231.119
685.967,544.959,1720.52,231.112
686.311,540.645,1704.88,232.05
704.558,538.271,1712.91,232.629
702.231,537.255,1696.54,227.591
686.932,540.031,1709.21,232.278
688.82,538.583,1736.78,234.334
687.141,560.338,1714.88,231.638
684.256,553.734,1736.18,229.89
696.717,537.409,1698.18,231.541
717.471,536.933,1696.74,232.504
692.08,536.727,1716.32,228.971
689.477,538.628,1701.43,231.083
685.633,540.409,1707.83,231.914
686.392,538.765,1713.26,227.446
686.006,538.953,1705.26,230.336
685.159,536.941,1725.8,229.655
688.415,538.899,1707.85,229.642
684.247,536.121,1772.69,232.062
691.664,536.966,1724.9,232.355
686.062,566.076,1737.39,231.314
684.533,540.177,1707.36,227.584
685.032,536.177,1704.25,229.857
686.366,538.25,1702.77,232.812
685.939,543.169,1726.68,231.046
704.881,544.025,1706.54,229.674
697.988,538.162,1709.84,232.633
686.854,540.964,1702.16,231.516
686.668,539.056,1729.44,227.708
685.082,536.731,1712.06,230.342
683.946,540.652,1703.45,232.453
690.548,535.981,1710,229.778
699.003,537.114,1724.24,227.75
688.017,536.366,1715.36,243.494
686.505,538.365,1708.54,242.732
684.242,537.472,1703.95,231.937
691.081,537.936,1718.12,230.898
686.033,550.927,1708.21,237.583
685.622,557.752,1720.44,234.608
724.708,598.8,1703.82,229.807
732.141,597.557,1704.69,232.544
767.531,539.775,1716.94,231.712
696.774,539.86,1707.85,229.471
696.431,540.151,1691.83,230.477
686.135,539.128,1711.59,232.314
694.998,538.519,1698.78,229.425
687.381,541.824,1727.3,228.82
683.764,538.389,1704.98,232.067
715.1,537.433,1747.96,230.613
706.281,537.714,1748.92,229.087
689.572,537.244,1703.11,231.309
687.401,538.361,1706.44,234.101
685.168,538.367,1704.37,229.278
684.85,540.562,1711.53,229.638
713.489,540.237,1716.61,234.697
686.848,538.286,1738.13,239.665
691.288,535.932,1701.52,230.081
688.134,537.937,1701.46,232.379
704.069,540.255,1723.56,231.715
687.185,540.469,1702.83,228.808
686.811,540.165,1705.19,239.946
684.967,542.238,1708.12,231.763
685.805,547.882,1715.25,229.111
685.42,536.975,1711.9,229.705
687.624,542.768,1709.52,230.559
686.847,545.946,1707.94,226.032
687.712,539.811,1705.77,237.614
688.84,541.332,1716.17,236.343
685.028,551.795,1705.27,231.04
701.232,537.307,1703.4,230.862
703.899,536.558,1721.91,234.309
690.684,537.06,1765.15,233.16
701.11,538.647,1708.73,235.767
684.941,539.111,1709.85,228.291
687.918,538.442,1724.48,231.006
685.011,540.176,1710.81,231.042
685.324,542.138,1698.05,229.537
688.955,538.122,1706.29,239.129
695.833,561.408,1749.15,242.605
687.659,561.332,1715.55,232.456
700.476,543.739,1707.83,228.877
688.917,538.558,1704.95,247.446
686.148,540.034,1699.97,239.742
700.737,539.548,1692.31,236.712
698.832,537.805,1703.13,230.024
691.062,537.738,1715.17,233.571
684.571,537.977,1695.57,228.984
693.271,571.558,1703.7,231.285
696.18,538.602,1719.8,240.78
718.668,540.916,1705.53,240.419
702.597,538.631,1701.3,229.876
690.962,538.563,1696.73,229.893
685.261,539.879,1696.71,232.641
687.425,538.173,1718.51,247.632
684.544,566.893,1695.42,237.725
684.876,536.831,1723.52,235.765
685.072,536.665,1717.43,229.955
684.553,537.842,1728.02,228.684
686.509,539.92,1701.71,236.353
689.761,538.939,1712.22,230.875
686.411,540.701,1715.82,231.528
684.187,538.546,1701.97,233.256
715.049,536.989,1711.41,232.853
694.68,540.451,1695.77,230.6
688.14,549.112,1701.95,229.964
741.389,538.152,1698.64,232.222
689.923,539.149,1716.87,230.191
696.905,544.188,1703.28,227.793
685.649,538.608,1721.35,233.434
690.059,535.872,1717.41,233.198
685.47,541.766,1709.52,230.147
685.296,536.165,1714.48,230.621
689.612,538.615,1715.79,234.97
701.99,558.075,1710.45,227.463
684.67,546.278,1709.51,231.887
685.121,538.093,1709.32,233.747
697.221,543.498,1710.14,232.277
685.862,538.127,1725.46,231.56
687.204,538.313,1707.1,230.334
692.979,537.212,1707.93,234.726
689.043,536.814,1711.3,232.864
692.761,538.017,1716.3,230.905
684.416,544.634,1703.15,232.883
689.414,541.629,1703.24,231.255
688.06,538.019,1703.88,229.525
690.956,546.382,1700.74,229.122
689.465,536.678,1721.61,231.51
687.07,544.393,1721.55,228.116
686.65,544.464,1699.33,229.64
687.093,551.652,1699.36,234.227
691.109,546.214,1716.41,228.609
686.912,545.255,1706.38,232.324
688.383,540.383,1718.11,232.893
687.936,538.051,1699.06,233.451
685.709,564.707,1703.72,231.109
684.06,537.714,1711.8,230.855
689.69,538.367,1707.36,232.228
701.662,537.806,1715.41,230.44
685.842,537.332,1722.08,232.569
691.751,538.847,1706.71,237.722
685.249,538.268,1706.58,230.655
685.398,541.425,1706.04,232.108
684.224,539.843,1726.47,242.683
687.472,538.303,1734.1,232.139
705.402,537.083,1698.16,230.261
689.768,537.753,1706.54,228.869
711.183,547.902,1727.44,234.168
685.193,539.333,1699.79,228.5
687.11,540.682,1709.75,229.162
686.637,545.821,1698,231.641
683.957,539.242,1714.63,232.223
698.561,538.823,1715.37,231.255
686.433,547.222,1717.71,232.243
687.531,540.053,1702.9,235.679
684.479,540.036,1707.5,229.108
688.209,542.636,1695.82,228.92
684.937,561.169,1701.38,233.065
693.27,559.333,1706.44,230.551
713.266,537.144,1709.72,230.351
692.598,536.692,1726.77,233.502
723.248,538.193,1705.41,232.764
685.567,542.069,1703.97,230.656
694.718,539.385,1709.42,228.407
693.613,537.685,1705.72,233.429
700.525,542.695,1715.62,229.736
685.285,538.902,1704.78,231.937
686.014,540.272,1731.35,233.717
686.485,543.554,1716.75,231.358
686.315,541.246,1705.56,231.866
688.406,538.235,1724.38,230.972
686.14,536.086,1698.32,232.62
686.196,546.597,1705.13,230.553
695.978,537.505,1712.71,231.43
692.211,537.098,1703.22,231.899
685.563,537.775,1723.59,232.011
684.544,541.196,1713.96,229.512
684.39,536.795,1719.01,231.093
685.873,537.537,1707.3,231.958
686.692,537.202,1739.53,229.828
688.024,538.25,1710.1,229.696
695.126,535.923,1708.03,229.484
704.678,541.284,1698.73,229.915
702.266,537.567,1702.08,227.718
685.749,539.672,1729.86,229.248
687.379,537.517,1708.3,232.212
687.468,536.801,1706.69,229.028
687.653,537.786,1696.68,234.784
686.959,537.449,1703.9,232.101
685.735,539.783,1705.24,228.491
685.611,540.121,1707.07,229.192
684.923,539.376,1706.42,231.484
689.49,539.349,1698.11,230.875
684.275,536.296,1713.43,230.32
688.687,538.817,1713.71,246.335
685.129,539.535,1695.24,242.419
724.794,539.761,1699.66,227.46
685.223,538.877,1707.46,230.57
684.291,536.405,1717.77,232.667
685.077,540.857,1704.3,231.486
687.101,535.699,1746.02,228.626
686.961,539.487,1707.86,228.894
688.911,538.977,1700.17,232.39
685.876,541.87,1708.49,228.37
686.459,539.186,1707.45,227.695
685.412,538.542,1711.51,231.021
686.617,538.222,1714.79,228.987
687.495,538.562,1705.55,227.354
711.64,538.023,1723.07,231.062
707.853,554.968,1740.32,230.936
685.771,566.239,1716.9,229.576
690.562,538.408,1698.71,230.319
685.407,537.985,1707.21,232.058
692.274,539.091,1710.43,231.805
686.081,535.523,1711.68,242.429
687.242,537.698,1707.37,230.135
684.912,546.352,1708.2,231.969
692.178,560.241,1712.72,231.14
688.652,535.595,1697.75,231.429
697.822,566.294,1705.22,232.423
689.462,548.847,1711.94,229.867
704.544,540.73,1708.89,234.918
686.923,542.829,1700.73,234.763
686.909,541.976,1708.14,230.147
687.698,541.276,1712.41,230.796
696.811,536.924,1719.26,235.824
704.165,539.886,1708.55,230.541
699.555,540.424,1722.19,229.974
691.172,542.512,1714.22,235.921
690.436,543.836,1702.23,232.41
724.06,541.237,1711.98,229.079
697.141,542.234,1712.87,228.695
705.147,539.432,1703.01,233.836
686.343,539.274,1706.81,233.938
685.742,535.868,1719.33,232.695
692.268,549.62,1703.84,232.251
687.51,547.767,1698.71,232.693
701.293,539.998,1718.37,234.405
701.179,538.077,1709.02,230.26
688.107,539.955,1697.85,235.351
688.27,538.68,1701.24,229.619
697.068,541.691,1705.51,234.068
685.674,540.427,1701.58,232.034
689.924,542.797,1708.74,232.072
687.061,544.49,1717.67,229.147
688.322,552.804,1696.15,236.525
695.823,539.701,1728.15,232.516
687.926,547.307,1695.77,229.209
688.088,548.015,1715.47,232.363
686.473,539.956,1704.1,232.47
686.082,540.999,1711.33,231.822
684.245,539.392,1698.36,235.604
687.412,538.765,1715.89,233.263
692.719,537.819,1724.17,232.325
690.935,546.247,1703.16,231.04
686.005,538.027,1697.21,230.506
684.779,549.303,1701.67,237.672
686.08,551.929,1694.33,234.011
694.479,535.409,1701.56,237.915
688.529,541.578,1707.54,230.297
689.217,537.459,1701.85,231.393
693.86,537.333,1703.36,230.042
689.094,535.663,1708.02,233.01
686.477,542.142,1708.22,232.084
684.75,538.081,1702.59,228.891
685.994,552.459,1724.05,228.787
687.453,543.904,1706.17,231.935
688.53,552.922,1715.39,231.076
686.733,542.771,1710.9,234.913
687.117,556.835,1713.16,229.551
694.277,543.92,1711.28,232.245
686.384,543.224,1727.68,230.517
691.017,547.093,1702.9,231.727
692.216,541.329,1710.32,233.729
696.258,538.593,1702.58,233.443
687.634,539.226,1715.02,231.133
683.82,540.567,1712.02,231.677
688.638,542.966,1705.29,239.176
688.91,552.375,1719.11,230.561
684.65,538.823,1726.71,232.333
695.871,547.367,1708.86,235.686
705.308,542.298,1715.16,228.923
707.906,557.971,1704.45,239.042
693.741,537.663,1695.65,233.171
685.344,540.286,1715.61,230.985
685.293,540.352,1751.78,229.279
684.444,537.401,1710.91,232.507
690.239,540.929,1704.98,233.601
685.195,539.564,1701.31,231.848
689.242,540.954,1721.24,233.411
683.807,541.83,1707,231.859
686.072,543.337,1716.71,229.448
685.361,542.298,1711.62,228.725
691.386,538.995,1718.08,228.707
685.906,540.096,1705.98,233.316
693.397,537.846,1698.3,231.078
693.842,539.078,1707.03,230.186
685.737,541.399,1705.01,239.011
685.472,562.369,1705.81,231.174
685.419,536.384,1724.71,241.386
689.762,540.218,1707.68,230.082
687.025,556.112,1695.99,232.239
689.895,549.418,1715.7,230.343
715.547,542.165,1703.08,228.504
685.091,538.662,1700.31,231.336
684.333,536.873,1735.73,231.518
686.389,537.383,1703.35,229.729
687.978,535.992,1704.38,231.408
686.683,535.276,1701.25,231.11
684.772,537.895,1694.16,229.588
703.766,548.365,1706.38,230.652
685.691,541.539,1718.05,231.139
711.86,537.838,1706.48,227.538
686.748,538.723,1705.98,231.317
686.262,545.612,1703.93,231.537
689.367,560.299,1699.37,231.149
707.121,537.641,1718.44,236.079
687.429,542.819,1705.17,232.169
686.44,541.906,1714.5,233.802
694.665,541.132,1711.08,232.045
688.977,536.874,1710.94,226.898
687.76,552.275,1703.39,234.174
698.87,537.117,1708.36,234.773
688.828,541.395,1704.71,226.865
696.412,543.97,1693.09,234.063
684.917,542.774,1716.3,232.96
684.563,545.844,1705.39,230.334
690.966,546.75,1712.99,233.428
690.324,545.15,1700.49,231.133
695.476,544.644,1706.86,232.418
698.459,550.86,1702.35,230.407
688.644,539.562,1706.57,237.11
686.244,538.256,1715.31,230.132
683.017,539.998,1709.81,229.139
686.77,548.831,1708.36,233.224
702.693,555.326,1699.29,235.699
697.292,549.739,1707.66,233.172
697.534,542.898,1709.64,230.627
705.058,543.975,1697.92,233.464
687.306,536.699,1720.08,228.85
686.99,549.91,1710.35,229.4
686.988,550.426,1707.99,230.667
693.76,551.505,1700.73,232.72
686.777,548.495,1703.01,230.804
685.367,542.808,1710.4,231.256
687.481,537.72,1708.92,238.062
692.013,541.091,1705,231.987
688.185,550.806,1700.73,229.562
698.208,554.402,1698.94,230.803
688.11,539.74,1712.88,233.489
684.42,537.562,1726.39,233.605
685.108,539.688,1701.35,230.011
684.887,553.963,1713.06,231.105
685.585,546.472,1704.3,228.342
690.164,538.63,1708.84,228.749
699.208,537.906,1694.51,233.593
689.763,539.372,1716.36,233.627
693.032,539.558,1693.14,228.669
685.736,548.612,1701.9,231.127
686.93,554.181,1695.68,229.986
687.569,541.568,1709.08,229.294
688.323,541.644,1699.61,230.858
702.949,536.731,1703.19,233.368
692.184,539.16,1714.56,234.438
686.421,551.547,1710.57,234.547
690.712,557.214,1720.97,231.561
695.022,557.553,1719.76,238.775
688.211,539.403,1714.16,229.655
687.291,543.132,1712.92,230.758
687.572,538.293,1710.99,231.791
692.769,538.518,1710.04,233.476
688.409,550.896,1709.81,228.164
684.608,548.164,1705.33,232.767
685.902,541.331,1717.87,231.958
688.334,541.677,1696.31,229.136
687.303,543.942,1711.17,229.704
