Simples,Novo,Hwloc,Matriz
249.584,193.424,657.011,96.097
251.9,195.848,658.556,97.8863
250.228,195.311,654.595,99.576
251.061,195.933,663.085,98.3366
254.169,195.76,651.217,97.3135
255.799,194.966,655.035,96.4752
247.959,200.216,659.598,96.736
249.501,192.857,656.028,97.6284
253.965,195.068,670.806,96.7402
252.218,192.439,651.179,96.2196
249.351,193.848,657.242,97.3392
248.157,194.978,659.91,98.5899
248.189,201.18,653.125,97.6927
258.206,192.77,655.402,102.855
254.948,198.149,660.601,99.5215
251.559,199.719,662.087,97.3779
258.216,198.8,656.93,95.8522
252.872,196.414,653.076,96.3732
253.135,192.735,665.197,98.337
249.552,193.705,653.038,96.5968
249.661,193.008,654.844,100.423
255.493,197.871,656.412,103.008
257.587,196.384,655.09,96.3571
254.442,193.744,663.332,97.6627
253.078,200.331,665.377,97.1107
253.017,196.818,656.364,95.502
252.759,195.186,658.074,97.6263
261.451,194.64,651.342,98.3232
250.59,199.45,653.418,97.1022
254.057,199.92,652.234,97.1644
255.138,195.908,659.407,99.6518
253.5,195.438,657.346,99.7592
251.899,195.224,675.815,97.9938
248.834,192.668,648.407,97.2321
248.73,193.763,656.707,95.8861
251.383,193.646,653.767,96.8828
253.106,196.339,656.792,100.501
255.747,195.909,656.273,98.6389
256.166,196.395,666.197,103.047
258.064,195.38,659.417,99.5211
251.297,196.02,659.114,97.7741
254.98,195.417,655.661,97.8116
249.986,204.675,667.973,99.4593
252.397,192.653,658.848,97.9519
249.252,199.882,652.107,96.8106
251.148,195.559,658.824,97.5142
248.225,197.193,662.052,97.351
251.901,193.698,653.035,99.6668
249.697,193.012,650.467,99.8142
251.658,193.599,648.618,98.1747
253.145,195.738,654.626,96.7126
249.748,193.601,649.098,98.5923
248.018,194.512,660.471,96.831
250.144,193.779,656.25,97.0463
256.099,195.865,666.967,99.956
248.928,205.934,654.199,98.3169
254.544,218.554,658.492,99.1336
248.182,194.997,666.154,100.286
249.809,195.469,655.851,98.0158
254.368,192.914,661.101,97.6327
254.578,198.437,651.27,97.7096
250.17,194.912,658.686,95.5949
262.037,200.693,652.048,96.2176
252.062,197.592,667.853,98.6018
255.371,196.291,657.229,98.3719
251.7,197.445,665.673,96.2397
251.743,199.303,651.006,101.361
250.998,195.949,654.622,96.7695
253.986,195.584,658.391,97.9309
252.106,192.407,664.29,97.042
248.827,193.329,658.666,98.1763
251.949,195.788,654.505,101.032
248.649,195.196,657.895,97.5272
250.992,195.989,662.142,97.8392
257.134,196.246,664.661,97.2482
251.289,195.289,658.058,96.9552
258.542,195.539,657.615,101.507
250.664,200.865,659.769,99.1608
255.194,192.089,652.819,100.779
253.797,192.618,662.08,95.7754
251.307,193.493,662.73,100.207
249.216,197.023,661.769,99.9386
255.519,194.992,653.798,98.1956
257.299,197.838,667.698,98.0539
252.372,193.219,655.303,96.2273
258.325,193.104,653.903,97.5098
258.751,193.908,670.636,95.4262
255.25,200.74,652.831,97.2215
257.051,198.958,658.402,97.7469
253.606,196.112,655.865,97.9802
252.228,193.75,665.889,98.7573
252.179,195.357,660.181,97.0255
247.553,197.212,665.698,98.2873
252.015,195.678,657.327,102.375
260.534,196.863,652.832,100.701
258.312,195.119,667.328,101.749
251.214,195.962,662.555,98.4054
252.246,195.877,653.806,101.363
253.018,194.611,669.411,95.4847
263.595,193.21,670.718,96.9805
253.758,196.538,671.126,96.2203
251.44,196.375,653.936,99.3567
252.288,193.243,660.272,100.307
249.826,195.13,654.884,100.575
254.02,196.656,654.447,98.5378
254.262,194.733,655.215,97.7247
251.196,200.441,659.128,97.0357
261.393,193.394,667.808,97.8693
257.279,200.916,655.927,100.193
285.461,197.288,651.122,102.291
252.41,197.586,673.522,97.8918
251.327,194.586,653.626,96.8039
250.206,199.361,656.053,100.097
250.952,194.582,660.482,95.9216
249.936,195.027,657.315,97.8349
250.128,194.182,656.092,97.7161
251.397,195.035,653.576,98.3328
252.405,199.578,672.328,97.5106
246.083,194.999,655.428,96.2914
256.11,195.924,664.418,102.751
248.85,198.483,650.541,97.4805
250.422,196.674,655.402,101.062
253.394,196.665,660.906,98.025
250.453,196.194,654.986,97.172
253.251,194.792,656.58,97.4605
248.85,201.159,657.645,96.6063
254.919,196.021,658.906,97.5351
249.452,200.426,658.602,97.3771
251.409,199.554,656.813,97.061
256.549,194.233,654.302,98.377
256.526,193.893,654.781,99.8256
247.804,192.796,661.37,99.2919
257.143,194.884,654.704,103.42
253.305,192.9,654.244,96.9428
248.268,193.928,659.731,101.361
255.153,197.633,654.149,95.5372
250.887,204.373,665.729,97.1353
255.592,193.388,652.725,96.1117
250.14,197.498,650.135,98.1702
257.761,195.691,652.7,96.103
256.019,193.765,662.189,98.7148
250.476,196.182,660.942,100.24
254.035,194.989,653.917,96.8002
252.806,195.967,667.264,100.438
250.348,194.156,661.65,96.9398
251.307,194.774,660.867,97.6034
261.813,193.388,655.718,97.4806
249.514,196.617,654.929,105.272
255.72,195.806,657.332,98.1976
249.409,195.612,657.111,98.6214
253.76,194.204,654.308,98.8767
261.536,194.708,653.425,97.3434
251.636,196.765,653.71,100.498
261.039,192.692,652.912,95.9678
253.517,194.781,653.264,101.293
252.493,193.688,654.914,99.4666
250.668,200.144,657.451,97.7223
255.26,195.267,655.37,96.5829
255.554,195.52,662.637,97.7058
250.7,200.127,649.127,96.724
250.933,207.008,663.874,97.5134
255.916,195.551,660.042,98.2842
250.51,198.026,663.934,97.9791
251.385,199.39,658.313,97.1507
260.608,194.376,667.441,100.455
251.138,196.118,654.168,102.837
251.756,195.318,671.497,104.107
248.459,195.648,659.603,97.319
259.89,193.579,654.745,98.1901
249.636,202.542,659.326,96.9401
257.185,192.704,659.817,97.3572
252.652,193.491,658.709,98.1348
249.552,196.65,654.282,101.633
248.458,196.148,675.255,100.122
252.998,199.531,665.544,97.3415
258.92,193.128,663.727,103.031
253.841,195.214,655.129,96.7482
253.827,200.238,673.225,96.7592
248.362,199.118,661.792,97.707
257.288,197.946,656.839,103.431
253.966,197.538,659.815,99.659
253.735,201.151,657.1,96.1224
252.248,197.476,659.936,96.1575
251.133,200.682,650.987,96.5621
249.645,205.188,655.717,99.3469
256.673,194.557,666.077,99.6459
252.799,197.783,656.435,109.169
256.152,200.037,657.226,113.502
259.682,195.045,665.335,98.7041
249.89,194.919,652.303,97.9446
249.558,203.29,682.95,100.812
252.37,223.826,658.523,97.6729
257.772,196.889,662.098,97.219
250.755,197.756,655.585,96.8367
251.155,196.028,652.552,102.817
249.614,198.586,653.202,99.3872
253.112,196.674,652.139,97.8622
248.751,197.375,665.779,99.2714
251.031,193.529,656.12,96.4171
253.098,195.048,658.004,98.3406
251.885,197.195,660.609,97.9664
250.682,200.078,655.834,98.0762
249.383,194.385,652.271,95.9789
254.75,193.087,661.593,100.939
250.022,193.109,655.171,97.4513
261.62,193.445,652.395,98.3909
253.16,196.94,655.916,96.984
250.373,198.017,652.371,96.3628
253.433,203.757,664.88,98.3295
249.702,197.581,662.191,93.9099
254.665,194.954,652.157,97.1195
247.64,195.855,651.937,96.3132
250.947,197.036,657.713,95.4579
254.962,194.938,662.809,97.6777
251.305,197.661,653.053,102.05
251.262,198.176,654.458,100.868
259.008,194.655,656.575,96.9903
252.941,193.91,653.783,97.5351
250.188,196.397,658.771,99.6641
254.507,195.864,656.07,98.7673
255.059,197.147,653.969,100.092
254.182,195.529,653.44,97.411
254.474,197.44,653.477,99.5242
262.991,197.444,652.522,96.9361
253.545,199.268,661.981,98.4868
251.269,195.059,662.391,98.5599
249.192,200.264,663.393,97.247
249.157,203.976,657.699,101.139
253.997,192.67,668.719,98.6042
258.473,196.255,657.069,99.6783
254.042,196.204,661.216,96.7824
251.454,194.667,654.734,99.9931
247.807,194.305,653.961,95.8333
248.69,192.496,662.683,95.9307
250.918,199.399,662.547,97.6557
250.857,194.273,665.92,96.4723
254.22,202.921,661.143,98.5204
259.67,194.656,654.694,96.8587
252.301,197.749,653.599,99.6278
250.028,194.855,652.732,96.1725
251.223,196.029,649.154,96.7881
248.233,194.123,662.146,95.7056
252.082,192.936,658.668,96.1879
252.648,195.556,658.6,97.989
249.936,197.295,652.262,99.6083
252.697,205.781,656.345,97.0471
250.43,196.829,652.967,97.0729
