Simples,Novo,Hwloc,Matriz
52.2888,48.4195,131.685,18.3396
54.8053,47.9506,133.388,18.4465
54.5816,47.2849,130.894,19.4489
52.3974,47.9525,130.752,19.0514
51.9477,48.3327,131.295,18.2543
53.9961,48.2374,130.829,18.0472
52.2607,49.3068,134.047,18.4794
52.4835,48.5818,133.998,19.384
53.7548,48.4716,131.352,19.384
54.3066,48.4589,131.932,19.9491
53.1915,48.462,136.431,18.4748
54.3399,50.5037,136.298,18.4079
53.0287,47.9636,134.073,18.5714
54.7191,48.4033,128.087,18.27
54.2426,49.2279,131.902,18.2531
54.292,48.2524,131.619,18.2537
54.3631,47.8739,132.152,18.1109
53.9479,47.8143,129.791,18.1091
53.5091,47.96,130.053,18.0606
52,47.966,133.635,18.1302
53.7672,48.2951,133.349,19.4271
51.9467,48.7399,131.904,18.1124
53.6359,48.5195,131.388,18.3163
58.9487,48.0734,132.904,18.0653
53.4985,47.9648,130.84,18.3731
53.699,48.6523,133.451,18.6489
53.0105,48.1307,127.482,18.3921
53.9508,51.0892,139.498,18.4158
55.4026,51.2417,133.94,18.223
56.7296,51.3703,134.454,18.481
53.44,48.5456,134.451,18.4514
53.8034,48.3365,131.988,18.04
52.0161,48.6829,131.525,18.7295
54.5611,47.5966,131.838,18.5386
53.082,47.8835,133.026,18.2987
52.5399,47.5713,134.536,18.253
52.7107,47.8482,133.066,18.5071
54.2182,47.8787,133.051,18.2084
56.2926,51.0168,137.419,18.2044
54.7729,48.0939,129.624,19.343
54.2245,48.1444,134.675,18.2126
54.4394,48.3903,130.96,18.1375
54.0171,49.9726,131.409,18.43
54.902,48.5696,134.923,19.6571
54.7476,47.3362,132.862,18.3577
52.3195,48.0245,134.268,18.2767
52.0419,47.9972,133.516,18.242
53.2137,48.2317,133.914,18.3874
54.3012,49.6667,131.786,18.3222
53.8046,47.8304,134.212,18.5753
54.9794,47.4493,134.079,18.1046
55.8427,47.9912,133.206,19.5188
51.5946,48.3259,131.232,19.8889
52.9639,48.0075,133.428,19.6064
53.7315,48.1863,131.598,18.3925
53.9489,48.0845,135.327,18.3384
53.1914,47.373,134.371,18.3048
54.0926,48.9406,132.519,18.5339
