Simples,Novo,Hwloc,Matriz
8213.32,8429.1,18741.8,3716.74
8211.51,8403.89,20828.3,3755.26
8172.41,8400.76,20276.6,3842.22
8594.28,8593.1,19204,3758.76
8274.16,8361.96,19423.2,3954.51
8647.59,8453.26,19457.4,3719.24
8194.62,8463.37,20232.9,3861.16
8247.2,8403.21,20670.9,3874.94
8383.09,8443.59,21157.7,4444.9
10141.1,9765.54,20360.7,4083.9
8447.81,8423.86,20460.1,4397.04
8946.46,8469.11,20624.2,3851.46
8204.3,8490.75,20694.9,3715.5
8394.76,8417.52,21677.8,4256.65
8189.94,8481.04,19896.7,4189
8506.94,8487.11,20626.4,3933.17
8484.91,8382.8,19428.6,3910.23
8223.35,8707.27,20225,3838.52
8509.1,8641.43,20833.7,4127.82
8514.14,8532.19,19957.2,3872.45
8589.61,8668.02,21230.2,3785.72
8300.92,8689.99,20321.7,3953.52
8495.65,8604.27,20711.2,3979.42
8552.09,8581.16,21229.3,3874.57
8475.48,8639.39,21219.9,3791.71
8671.2,8838.49,21283.6,3903.56
8425.54,8632.57,20337.1,3790.05
8553.3,8545.47,20771.7,3959.21
8547.87,8948.24,19968.9,3888.53
8642.37,8689.09,19931.9,3980.34
8480.61,8646.66,21460.3,4045.07
8425.68,8660.43,20239.2,4058.05
8600.18,8758.68,20570.4,4434.76
8251.98,8564.06,19713.2,3801.25
8270.62,8420.5,19630.7,4297.63
8239.85,8431.42,19739.2,3817.74
8284.76,8384.84,19898.9,3738.73
8202,8464.15,21012.5,3840.53
8245.88,8459.84,21915.9,3718.95
8261.05,8791.97,20902.9,3861.01
8284.86,8709.44,20912.1,4007.08
8664.87,8570.26,20283.1,3886.77
8503.13,9059.28,21190.2,3938.28
8814.81,8652.54,21098.9,3763.83
8446.99,8719.38,20272.7,3804.98
8580.25,8682.93,20508.5,3998.41
8456.23,8643.01,20172.1,4037.62
8485.02,8618.24,20800.1,3856.21
8449.37,8982.56,20450.5,4108.44
8461.14,7908.04,21130,3777.35
8466.28,9261.4,20351.5,4021.41
9495.57,8649.63,20902.5,3879.1
8542.33,8780.7,21585.6,3904.63
8603.77,8563.47,21223.1,4217.88
8474.41,8651.55,20878.2,3893.09
8766.36,8535.29,20786.9,3875.63
8573.05,8733.84,19983.5,3863.73
8403.96,9138.06,21858.5,3794.27
8404.46,9013.68,21348.8,3988.55
8523.37,8841.32,21007.2,3818.6
8598.66,8614.5,19954.6,3928.32
8418.24,8634.84,19694.5,3917.24
8407.25,8526.88,20003.8,3808.47
8536.22,8580.19,20104.8,4108.15
8600.85,8557.54,19966.7,3844.47
8581.45,9029.24,20388,3912.74
8451.82,8554.99,20002.1,3869.16
8471.31,8658.69,19873.6,3777.99
8700.8,8579.65,20773.5,4018.74
8365.44,8637.26,20201.9,3957.03
8460.42,8547.02,19744.3,4069.18
8499.04,8664.38,20374.4,3921.77
8952.1,8490.03,20214.6,5327.3
8273.14,8425.31,21017.4,4883.36
8196.19,8459.28,23764,3836.71
8275.68,8425.81,20180.2,3777.31
8224.9,8480.03,19170.9,3715.87
8295.54,8420.81,19625.1,3957.62
8213.71,8452.14,20221.5,3917.49
8310.3,8394.02,20440.6,3803.12
8233.78,8445.26,20562.3,4055.72
8794.66,8832.29,19777.4,3968.06
8633.03,8966.86,21166.6,3919.85
8799.48,8868,20515.2,3922.48
8559.49,8607.16,19732.2,3948.32
8432.31,8903.24,21048.2,3936.12
8553.43,8641.65,20244.1,4061.25
8319.34,8693.44,21126.9,3833.83
8453.39,9436.4,20336.8,3924.84
8357.37,9378.03,20771.3,3840.98
8437.95,8516.69,20145.9,3817.86
8913.18,8526.33,20942.5,3763.37
8278.37,8615.78,20260,3780.17
8443.06,8600.89,21656.4,4672.13
8347.11,8546.99,22128.1,4542.59
8435.6,8549.02,22958.1,4557.34
9582.77,8915.34,20399.1,3817.73
9557.58,8536.08,20582.4,3832.12
9418.41,8467.38,19784,3992.31
8370.66,8540.26,20161.2,3762.63
8472.38,8602.13,20574.4,3775.84
8500.39,8568.29,20868.9,3952.62
8306.44,8610.45,21017.9,4533.2
8415.26,8471.34,22237.6,3772.31
8295.78,8606.42,19729.8,3835.87
8376.2,8564.55,22283.9,3959.3
8302.3,8594.42,19673.2,3862.29
8482.44,8546.25,20882.2,3809.76
8457.53,8508.97,20567.7,3874.05
8362.22,8706.07,21233.8,3751.64
8412.26,8580.77,20090.5,3966.19
8393.1,8977.44,20847.3,3833.04
8860.51,8540.7,20141.8,4425.04
8365.6,8753.23,20310.8,3708.83
8469.14,8548.08,19923.1,3841.37
8406.11,8512.66,20630.4,3731.72
8387.93,8556.74,21066.8,4003.69
8414.63,8438.78,19870.5,3783.86
8430.75,7281.84,20276.2,3886.95
8299.46,8539.66,20600.4,3931.43
8433.23,8547.25,19803.4,3756.01
8389.43,8856.88,19439.5,4056.49
8671.24,8576.67,19771.9,3746.15
8365.78,8573.33,20690.2,3953.69
8392.2,8514.24,20236,3880.61
8365.6,8726.91,20918.6,3841.11
8439.74,8559.27,17499.7,3857.79
8383.51,9623.92,21131.9,3790.38
8355.77,6952.35,19821.2,4041.14
8334.15,8833.85,19489.2,3784.34
8391.61,8483.73,20327.6,3711.07
8362.3,8563.21,21813.2,3773.73
8302.51,8519.62,19942.7,3754.38
8330.51,8584.72,19797.2,4077.98
8751.67,8516.16,20174.1,3692.26
8290.82,8538.68,20306.4,3891.05
8319.49,8501.03,20824.4,3725.85
8337.45,8579.32,19760.2,3852.68
8468.88,8605.83,20781.2,3903.08
8233.99,8549.27,20920.8,3795.78
8393.78,8612.58,20928.2,3901.19
8361.62,8545.62,20938.8,3843.24
8473.07,8568.7,20407.5,3839.92
8372.34,8457.64,19526.3,4022.01
8305.34,8575.59,19838.2,3810.11
8444.4,8553.35,19839.3,3983.82
8427.44,8522.77,19605.3,3789.14
8648.77,8695.44,20098.7,3844.09
8415.59,8517.56,19973.6,4556.63
8259.14,8548.45,20039.4,3817.8
8254.64,8386.38,20207.4,3803.53
8186.72,8482.51,20335.9,3756.74
8230.37,8363.91,20787.7,3756.7
8250.48,8780.87,20227.6,3773.89
8214.7,8434.97,18950.8,3813.48
8277.41,8374.79,20900.4,3692.48
8261.82,8517.72,20095.9,3790.17
8577.32,8622.6,21141.4,3940.99
8670.12,8520.95,20118.3,4317.4
8390.03,8655.39,20220.4,3802.71
8565.52,8522.98,19855.1,3922.86
8320.62,8642.21,19839.6,3886.55
8288.72,8568.32,19948.8,3695.98
8489.8,8889.72,19363,3818.43
8240.72,8473.89,20582.4,3718.07
8238.99,8967.2,20115.6,3783.09
8208.42,8534.81,21327.3,3801.72
8324.33,8387.65,20371,3866.29
8290.49,8474.79,21253.9,4026
8350.32,8364.51,20901.6,3863.86
8199.67,8491.65,20063.6,3746.3
8391.5,8591.64,19200.9,3939.38
9254.82,8787.53,20822.2,3737.49
9496.84,8693.43,20307.7,3812.03
8377.35,8586.7,20760.9,3858.91
8377.62,8671.08,19730.6,3758.12
8375.46,8527.25,19430.4,3815.9
8479.1,9392.83,20041.2,3742.96
8445.99,8550.81,20131.7,3802.23
8418.83,8541.12,20466.4,3756.12
8684.86,8604.72,19822.4,4178.05
8378.07,8507.54,20762.6,3991.07
8372.51,8541.07,20665.2,3850.17
8365.73,8507.97,20012.9,3889.24
8491.26,8526.55,19453.2,3860.49
8347.5,8682.33,21469.2,3808.49
8459.62,9600.7,20400.2,3783.14
8403.33,8456.11,20487.1,3729.67
8450.91,8454.26,19806.1,3684.76
8212.03,8583.92,19288.7,3857.37
8285.22,8399.37,20123.6,3705.61
8225.39,8425.17,19441.3,3757.73
8933.62,8432.1,20766.3,3792.57
8291.04,8434.38,19730.9,3717.58
8309.25,8519.05,20573.1,3888.31
8259.8,8431.78,20583.1,3720.3
8300.79,8998.26,19322.7,3939.58
8201.39,9919.32,20348.6,3736.11
8182.61,8505.22,20484.2,3798.22
8307.9,8401.35,19759.6,3801.69
8193.64,8503.01,19726,3709.2
8290.19,8389.25,19272.6,4429.84
8243.42,8484.44,20650.8,3757.27
8297.8,8376.25,20864.1,3788.1
8195.29,8394.8,19474.5,3093.44
8202.26,8634.06,19566.4,2733.9
8206.69,8669.83,21135.5,3943.76
8234.19,8491.73,19530.2,3868.07
8261.96,8387.03,19794.3,3882.38
8191.06,8460.76,20140.4,3763.79
8180.79,8483.14,20024.9,3786.49
8254.24,8447.67,20850.1,3826.99
8182.97,8468.94,20598.5,3778.12
8174.04,8439.34,21056.6,3959.67
8779.58,8399.59,20269.9,4216.2
8436.54,8493.81,20596.9,3900.94
8348.71,8561.21,21110.7,3760.98
8690.39,8527.69,20540.7,3893.45
8304.37,8513.67,21590.4,3805.53
8321.64,8574.03,19776.5,3848.18
8337.71,8896.42,19816.4,3923.89
8299.07,8540.01,20622.9,4123.45
8577.61,8920.29,19586.4,3910.55
8380.92,8488.91,19698.5,3776.82
8299.64,8604.35,20831.2,3711.33
8451.5,8555.83,19838.5,4148.86
8346.13,8574.97,19720.7,3816.02
8455.85,8466.81,20516,3713.55
8517,8463.95,20802.7,3830.04
8261.17,8514.71,19246.1,3911.82
8397.81,8520.75,19982.8,3799.01
8923.98,8619.14,20950.8,3804.71
8414.99,8624.27,20988.7,3979.3
8472.24,8486.87,20159.5,3784.2
8363.4,8511.93,20727.8,3851.42
