Simples,Novo,Hwloc,Matriz
1029.48,918.689,2329.87,417.592
1033.2,912.16,2967.34,371.578
1010.26,921.521,3288.69,374.724
1081.53,914.381,3025.98,452.998
1032.18,912.709,3157.68,373.954
1055.47,951.041,3221.33,393.391
1018.39,1031.78,3079.34,373.251
1027.25,945.013,2859.96,364.313
1169.61,909.44,2909.16,372.736
1014.54,917.096,3081.81,373.873
1079.48,911.812,2747.33,367.29
1084.32,946.055,3064.48,370.033
1025.22,908.588,2853.51,366.066
1007.56,926.917,3034.06,365.092
1015.91,910.291,3164.79,375.27
1014.04,954.958,2667.43,375.4
1017.7,926.931,2738.02,369.051
1014.71,911.798,2865.93,465.975
1015.07,917.697,3028.28,378.894
1023.45,922.374,2944.88,366.377
1021.89,917.24,3002.76,367.119
1087.22,916.691,2764.16,377.768
1014.62,912.923,2826.62,370.86
1025.6,913.551,2797.95,368.849
1011.99,908.394,2901.86,380.918
1166.68,908.086,2766.55,368.32
1014.35,911.184,2990.15,373.493
1013.71,985.257,2989.4,367.165
1025.99,916.704,2728.67,365.422
1070.04,909.544,2793.15,373.237
1045.78,936.433,2820.51,377.35
1018.19,910.368,2733.04,374.081
1010.39,909.175,2314.34,371.386
1051.8,907.44,2833.16,366.976
1011.87,905.932,2673.87,377.833
1012.27,946.78,2888.69,366.363
1046.17,908.462,3158.8,374.919
1007.61,905.927,2761.24,410.688
1015.78,907.329,3038.57,370.046
1021.47,908.665,2844.61,364.436
1006.76,914.715,2656.96,458.681
1013.43,924.482,2557.77,367.391
1010.49,916.995,3063.84,367.002
1015.5,914.264,2636.86,373.686
1011.26,909.361,3166.72,371.136
1011.06,931.216,2884.05,378.491
1018.62,915.808,2774.1,382.179
1012.19,915.886,2874.22,384.118
1016.61,910.987,3050.22,369.016
1008.08,920.159,2827.69,369.558
1018.12,931.041,2808.83,366.529
1010.14,909.127,3081.17,372.954
1012.28,913.622,3047.87,365.286
1013.94,1012.03,3092.58,385.607
1021.29,932.706,2899.51,365.336
1020.36,913.997,3236.86,374.642
1015.8,910.308,2704.85,367.577
1011.63,924.717,3351.23,380.556
1026.19,913.905,2685.14,384.494
1013.32,917.659,2846.94,369.435
1012.06,921.994,2866.53,402.167
1012.4,914.447,3056.01,363.038
1047.66,916.893,2938.5,367.684
1012.64,911.449,3004.22,368.55
1064.67,914.934,2242.36,371.945
1012.18,915.834,2998.96,367.118
1063.52,916.987,2342.34,375.174
1057.83,913.94,2785.76,356.601
1025.65,909.796,3026.64,374.242
1010.09,915.953,2714.44,379.768
1115.85,913.232,3112.1,432.086
1030.79,914.437,2960.99,441.643
1256.21,922.777,3079.07,367.796
1232.2,916.992,2709.13,401.211
1164.98,917.732,2520.74,373.907
1010.1,944.143,3091.38,373.574
1006.14,911.648,2260.22,429.233
1015.93,910.944,2724.91,369.723
1006.18,915.285,3180.26,430.165
1015.87,949.308,2600.09,370.457
1003.54,932.886,2636.74,374.386
1012.78,921.68,3038.31,365.524
1014.6,913.867,2848.31,373.343
1013.08,913.013,3003.7,376.601
1009.21,910.197,2761.52,362.287
1025.37,908.371,2806.11,381.339
1013.04,945.943,2907.12,363.578
1009.53,922.778,2851.18,368.496
1008.01,913.894,2782.47,366.266
1009.85,944.39,2810.3,374.286
1010.39,917.735,3087.18,369.93
1012.68,928.756,2631.9,369.795
1018.45,913.002,3123.32,371.585
1012.02,917.98,2878.63,372.123
1017.06,933.689,3090.77,371.486
1011.38,915.938,2818.15,374.157
1126.38,954.111,2693.74,362.95
954.564,915.756,2982.52,369.328
1018.53,913.153,2796.9,377.467
1014.93,914.34,3069.2,407.822
1011.08,917.867,2685.23,366.571
1041.45,918.039,3182.51,372.304
1021.45,922.704,2776.66,375.606
1079.46,913.262,2841.68,375.638
1019.3,911.453,2770.01,372.946
1024.28,908.806,2856.8,378.245
1049.18,909.702,2801.42,364.017
1013.99,916.581,2448.95,370.583
1017.52,915.315,3020.15,424.152
1060,915.567,2341.14,496.416
1016.03,918.87,3159.96,397.758
1047.85,909.76,2354.25,417.595
1025.09,912.047,3026.68,498.381
1016.86,919.88,2912.96,463.917
1064.88,918.744,2512.16,373.054
1012.49,922.961,2976.53,368.538
1009.55,914.889,2330.86,380.598
1061.92,919.036,3041.3,367.928
1010.28,917.744,2504.62,372.206
1021.05,916.607,3147.27,394.061
1016.82,943.18,2674.8,379.74
1006.42,991.586,2911.76,370.739
1010.38,995.65,2383.56,448.187
1038.02,917.599,3033.44,373.081
1012.54,916.819,2792.22,385.201
1036.66,915.606,2452.07,369.699
1012.63,908.715,3017.33,391.596
1080.07,914.086,2237.42,393.647
1009.14,914.321,2967.07,374.401
1010.87,912.901,2487.53,422.073
1003.1,913.195,3052.86,373.199
1081.09,919.694,2720.68,362.508
1031.49,904.507,2717.09,373.012
1005.42,976.448,3156.79,375.015
1019.12,907.588,2733.56,369.475
1021.2,913.555,3114.61,368.179
1003.42,914.043,2694.78,371.502
1017.96,967.08,2619.57,375.477
1016.1,913.84,2724.68,361.529
1016.92,920.968,3005.51,372.193
1010.44,937.986,2694.17,366.774
1012.53,957.077,3156.22,374.139
