Simples,Novo,Hwloc,Matriz
2861.58,2554.53,5464.03,887.961
2767.62,2542.49,6219.52,880.34
2780.02,2566.64,5537.43,887.572
2768.87,2562.79,6095.29,895.733
2732.76,2541.59,5831.79,890.243
2740.74,2588.54,6096.46,883.42
2754.62,2648.61,5837.16,897.017
2734.94,2534.43,6129.69,884.066
2733.77,2540.29,5842.58,884.758
2742.2,2562.65,6058.95,987.832
2774.54,2579.23,5735.33,878.207
2809.87,2546.19,5663.45,890.702
2734.95,2803.58,6025.54,889.623
2833.26,2584.45,5799.74,942.553
2982.75,2538.57,5578.69,902.821
2752.07,2558.21,6050.68,897.01
2822.8,2551.48,5549.38,881.596
2761.08,2605.03,5660.31,896.722
2843.79,2550.94,6055.34,1001.79
2755.11,2547.59,6475.29,893.34
2764.14,2585.47,6051.61,878.522
2771.82,2570.61,5565.11,884.495
2745.7,2562.28,5523.73,891.906
2736.17,2580.07,5718.5,900.184
2734.67,2554.84,6073.09,893.71
2806.74,2595.74,5804.48,900.712
2747.77,2545.12,6250.36,896.849
2739.02,2606.13,6033.8,908.599
2783.69,2588.35,5839.27,885.808
2747.37,2544.86,6334.72,898.487
2738.27,2549.35,5816.82,876.186
2755.78,2595.36,5602.89,895.171
2752.95,2542.88,5562.05,962.56
2837.18,2537.66,6029.46,890.297
2798.89,2564.73,5972.32,892.807
2764.74,2564.87,5617.86,892.464
2873.99,2558.24,6061.82,895.097
2758.04,2609.07,5660.2,883.606
2779.65,2791.95,5595.37,886.609
2860.18,2575.08,6148.46,889.831
2750.96,2546.74,5573.45,894.407
2744.67,2546.46,6032.35,1011.27
2749.15,2586.27,6331.51,886.323
3149.58,2782.47,5656.04,888.472
2739.5,2841.74,5956.85,894.133
2747.83,2586.69,5633.72,982.172
2761.7,2606.8,5529.45,906.247
2748.43,2538.86,5603.3,917.283
2768.86,2964.42,6034.26,881.104
2790.87,2793.61,5598.96,944.453
2768.07,2548.36,5665.01,884.405
2759.91,2550.1,5625.76,900.234
2740.27,2570.62,5617.43,899.388
2887.67,2590.05,6033.85,884.831
2791.27,2547.51,5773.9,887.039
