Simples,Novo,Hwloc,Matriz
107.701,98.1571,174.23,27.2508
104.936,106.5,172.085,27.9355
100.055,109.704,173.909,26.793
99.9242,100.263,180.878,26.7971
113.828,98.893,176.363,27.3309
98.7542,98.4219,190.453,26.9361
100.153,106.157,176.554,31.3377
99.0461,98.8051,170.342,29.8159
100.558,98.7477,194.16,42.1482
110.771,98.4102,171.89,28.5311
99.6609,97.4319,179.093,27.0386
99.4851,98.0545,170.33,27.2181
102.105,98.7105,171.717,27.1501
100.218,99.976,170.229,28.2618
100.106,111.506,172.792,26.773
99.3653,98.3636,186.035,36.8487
99.3653,98.9714,185.597,26.8065
106.517,106.906,172.894,26.7557
101.115,98.9985,171.463,26.3712
99.4114,98.8586,180.648,26.9939
102.259,97.9446,175.914,26.6154
99.0045,100.313,173.398,26.8559
99.3052,97.3115,170.98,27.1038
98.5216,106.264,169.414,27.1752
101.216,97.8826,173.09,33.3752
99.0012,97.9716,171.473,27.3729
107.387,99.3,174.044,30.2666
113.999,97.8867,173.633,27.7225
121.149,98.076,171.987,26.772
101.743,97.8108,173.191,27.7458
98.2396,98.0481,169.702,26.9506
103.041,105.417,174.052,26.9651
99.2633,97.9828,172.915,26.7655
100.503,98.5001,170.963,26.9483
106.573,98.833,170.797,27.3417
99.0922,100.038,177.114,27.0261
100.726,97.2476,184.065,27.3877
100.471,97.5865,176.567,26.5981
100.622,97.4406,177.981,26.8112
98.4256,115.812,171.987,26.6224
100.237,114.185,172.566,26.6685
109.228,108.938,171.735,26.8447
101.213,97.6896,170.765,26.5628
105.276,101.685,169.275,27.7528
101.113,98.1542,176.577,26.9231
98.9309,107.327,180.145,26.7148
114.317,97.3722,172.716,26.8904
107.514,98.2173,172.521,28.1989
99.7177,106.876,178.922,27.3738
100.276,103.108,170.446,27.0237
99.0301,102.947,169.456,26.8079
104.877,103.417,175.884,27.5243
99.4412,98.0229,171.965,26.5007
98.9099,98.6055,176.923,26.7175
99.5625,98.1305,176.358,26.5057
99.7816,98.6066,171.237,26.7804
99.5122,97.4994,170.674,26.7395
98.7295,104.354,171.183,26.9785
99.4455,97.6289,170.501,27.1668
98.6484,97.4892,170.941,26.6821
99.7611,101.372,171.541,26.8406
99.0647,98.1744,177.6,27.2474
100.446,97.5875,176.257,27.466
99.8366,114.572,177.049,26.9809
100.527,121.305,172.233,28.7223
103.393,111.162,170.769,27.0951
101.979,117.555,175.863,26.8787
101.849,116.409,174.959,27.1324
111.761,106.998,178.736,35.7883
100.872,100.071,170.344,29.3856
100.213,99.1336,180.469,27.7799
100.318,97.8468,172.505,27.0662
98.9496,97.5828,174.109,27.4451
99.8141,101.752,178.941,28.6104
102.114,102.85,171.275,27.4526
99.5685,98.35,177.077,26.5147
105.918,97.4728,172.262,26.9164
106.16,97.6216,171.75,33.3122
99.5182,97.1853,185.263,34.9553
98.1796,100.778,178.842,27.4792
100.231,102.138,216.126,30.1173
107.111,100.89,181.422,26.7576
99.774,111.016,169.456,26.9888
99.0176,108.779,171.012,27.6451
101.221,98.7407,170.326,27.1342
107.402,99.459,180.997,29.8014
100.789,99.1876,233.779,27.3052
102.904,99.3438,244.749,28.4477
99.2964,98.9729,299.36,29.4061
102.727,100.376,243.045,31.1018
105.818,118.344,182.108,27.5737
106.839,115.064,193.595,27.1673
119.489,111.196,179.214,39.6871
98.8703,99.6865,172.735,27.9215
100.816,100.443,176.72,27.2391
104.408,98.475,179.089,27.7891
97.973,104.27,170.75,27.5994
102.129,97.9949,172.154,28.8174
102.977,97.9981,182.221,28.319
99.0848,104.581,174.56,26.8849
116.455,98.3087,177.33,26.6667
110.719,98.2708,184.242,26.9716
99.2264,99.7918,178.321,26.7548
99.7308,97.4584,170.7,27.7864
99.2265,104.298,173.046,27.0163
102.845,97.6211,203.386,26.8107
100.089,98.4498,172.856,28.6585
107.201,98.5691,175.713,26.9128
103.538,98.0158,172.912,26.5521
98.7976,97.4793,177.34,27.4184
98.0219,97.6817,172.095,26.6863
98.4192,104.224,173.229,26.9813
98.5053,98.1645,171.599,27.0549
98.4372,104.323,181.468,27.2442
101.04,102.47,173.315,26.5036
103.843,98.1614,172.938,27.1165
99.0059,98.0569,175.192,26.4905
98.8415,106.087,168.231,27.2923
99.0054,112.385,170.286,26.8121
97.9694,101.456,170.101,26.573
99.8598,97.1457,175.737,27.3332
98.7207,104.421,169.795,26.5903
101.634,98.8345,170.578,30.7314
98.8665,98.6138,172.101,26.9207
100.043,97.4835,174.309,26.4751
99.2997,97.7227,174.419,27.557
99.1514,97.9222,169.174,26.7683
99.734,98.063,177.396,26.6876
98.2438,99.293,185.565,28.5466
110.239,105.933,172.188,29.4644
113.708,103.61,170.838,26.8232
118.184,98.4242,171.452,26.2784
100.128,97.7507,169.965,27.2074
104.847,97.6859,172.34,26.6979
101.369,97.636,173.989,29.42
99.6469,99.0498,201.01,26.6149
99.5885,97.8392,176.316,26.7436
98.5258,120.809,170.173,26.5417
98.0617,98.2411,170.616,27.1542
101.277,103.894,170.73,26.4471
99.961,97.8947,172.888,26.972
99.0846,98.9747,171.614,27.6161
105.534,98.2392,174.355,26.8942
101.582,97.4588,176.647,26.8368
99.8077,97.9054,176.383,26.5026
98.8997,100.149,175.793,26.5501
98.8107,98.0961,170.529,26.5581
98.3436,98.7085,171.658,27.1221
104.419,103.967,170.749,27.0158
98.1934,98.331,172.346,26.4886
99.1108,98.4029,172.496,29.4578
106.572,100.284,170.214,26.6336
100.987,97.9237,175.784,27.0051
99.1127,98.2322,189.823,27.9843
99.7956,100.14,208.683,27.358
99.4904,97.3633,173.166,27.4204
99.7139,98.9058,173.453,28.4771
100.855,97.9944,171.995,26.9832
99.4025,97.7455,184.141,26.6392
104.78,97.7456,175.678,27.1789
116.565,98.1437,170.317,27.3915
98.2345,98.0536,175.017,27.3719
99.7681,99.5342,186.194,27.0475
99.2049,98.3011,172.827,28.7628
100.554,98.3761,172.939,27.1439
99.6626,103.027,171.016,27.3808
98.5986,97.7676,172.556,26.6956
99.2493,98.8004,172.22,26.7012
105.79,98.7803,174.656,28.1332
98.6536,97.9852,181.365,36.1333
99.6296,98.2764,227.614,34.5568
98.6521,102.906,173.154,26.8005
100.008,97.9017,188.375,29.4079
101.032,97.7535,193.383,27.1491
98.1544,98.0722,171.3,26.5888
98.3599,97.2631,173.821,31.9655
104.841,97.5195,170.112,26.9048
100.465,98.6428,172.204,26.6331
99.2856,98.3943,185.068,27.1076
99.2156,100.603,174.505,27.0759
99.1113,101.541,173.385,29.959
100.164,97.3078,172.18,27.1212
101.419,107.371,172.228,26.7649
99.3405,98.0555,171.151,27.3076
100.356,98.4765,176.458,27.8143
107.032,100.703,172.188,30.1235
100.263,97.3507,170.278,26.5823
98.6754,98.4134,176.519,27.0097
99.0674,99.9811,171.338,26.7505
99.8589,99.0945,172.641,32.3842
98.985,98.7183,172.225,40.1661
115.636,105.522,197.08,32.3417
103.067,98.468,177.415,26.8909
108.139,97.6714,170.1,27.3215
99.8348,98.3319,178.949,27.4036
99.0964,98.1711,176.386,26.5977
98.7887,106.407,184.628,27.069
99.4072,99.0106,174.671,26.9436
98.8298,97.6887,171.269,26.7758
106.428,104.321,172.396,27.0391
99.4315,98.5159,173.207,26.881
99.2283,98.5972,174.519,27.6129
106.135,98.1823,172.225,27.3673
98.9794,98.4983,180.584,26.6788
99.3135,98.3878,174.552,27.462
99.3648,100.763,172.363,27.1039
99.0028,97.9157,172.194,27.0792
99.8958,97.9753,171.822,26.801
101.307,104.855,173.734,27.1179
99.5629,97.7119,176.981,26.6312
108.8,99.5368,196.206,26.5771
116.236,104.417,174.388,26.744
108.393,112.439,175.714,26.9068
99.1234,99.7593,189.563,26.8658
99.3961,98.4191,171.615,26.689
99.4712,98.0313,173.903,26.8573
100.688,98.6265,171.983,26.9299
98.6386,106.428,175.74,26.9137
99.0671,99.7275,171.901,27.6092
108.671,97.7405,181.975,27.0894
98.5248,98.2784,171.723,27.0032
99.8011,100.143,176.685,26.6192
98.9714,100.005,184.244,29.9011
99.6222,97.3405,174.905,27.5873
99.8902,98.4172,171.031,30.715
99.5765,109.946,175.256,28.141
99.4911,98.1683,193.024,41.4401
98.7422,97.6645,178.263,35.4988
121.468,112.922,222.324,32.2547
149.217,114.285,213.246,38.3045
145.649,111.053,218.911,28.0604
150.184,120.13,176.69,32.889
103.195,98.8908,172.388,27.0904
122.515,97.8047,174.788,26.9776
99.0474,98.0957,177.479,26.4864
98.5329,99.7299,179.386,27.3109
99.7382,98.1478,173.976,27.4559
98.9224,97.4984,173.416,27.1547
100.635,97.7736,170.881,27.0042
99.4637,104.87,175.665,26.6871
99.0628,102.743,176.493,33.1286
98.5939,98.1198,172.888,27.4073
104.054,98.2163,173.713,26.6355
99.0767,97.8355,171.543,26.9636
99.0903,100.137,179.643,27.2806
98.7626,98.1837,171.776,31.6417
131.745,101.179,176.066,27.1584
125.223,107.169,174.493,26.8601
103.438,97.7818,173.047,27.0396
100.93,99.3556,184.224,26.758
103.951,97.5568,199.017,27.0358
98.799,97.3615,210.046,27.0983
100.483,99.3234,179.49,26.8522
98.16,98.7482,172.679,28.4623
100.571,97.8402,171.994,27.1724
98.6065,98.839,173.684,26.8242
103.61,98.2681,173.754,29.2103
98.9677,97.3199,173.281,30.384
104.222,97.4523,171.94,27.0545
98.8012,98.5375,174.471,27.2858
98.3133,102.295,177.483,26.9896
99.6143,98.3319,175.454,29.5011
98.7155,98.0798,173.041,26.5642
101.701,98.4461,172.745,26.5092
99.8985,109.783,171.491,26.793
116.531,97.8896,173.868,27.1688
112.109,98.3627,169.979,26.7902
103.557,98.0527,173.276,26.759
103.51,99.4931,178.655,27.0082
99.2259,98.84,176.262,27.0311
99.225,97.938,175.671,26.5716
103.429,98.3436,171.777,27.1669
100.214,97.5261,174.355,27.0456
99.2619,102.901,171.538,27.0672
99.0119,97.4672,172.916,27.1957
101.441,97.8872,170.4,26.8037
106.894,97.6645,172.396,26.9347
98.5589,99.6184,171.366,27.0061
98.2223,97.7288,177.407,26.9399
99.8399,97.3344,175.323,27.1752
101.854,97.7535,172.838,28.4068
98.3673,107.627,180.436,26.9496
99.2847,107.102,175.227,26.8341
99.7583,113.031,173.587,27.3164
103.885,107.321,174.579,26.8485
103.429,98.5948,172.979,26.8159
99.6184,99.9513,178.927,27.1948
98.4383,98.1762,171.31,27.1947
99.1085,97.2808,178.821,27.2475
101.183,108.03,171.636,26.8587
98.6907,98.6158,174.87,26.6159
98.6438,126.736,196.787,26.6307
104.895,110.017,170.9,32.9711
98.7286,105.392,172.342,26.8591
98.6484,103.868,171.4,28.1979
100.449,98.1096,176.112,26.7562
99.7079,97.9115,173.071,26.7175
100.661,97.4119,172.925,27.9224
99.3658,97.8378,171.952,27.095
98.8656,103.06,172.451,26.553
