Simples,Novo,Hwloc,Matriz
212.26,229.974,435.034,67.782
211.512,226.413,433.531,67.1978
215.845,229.524,528.662,68.5558
221.615,228.621,486.34,86.373
211.736,233.356,732.639,131.945
211.103,234.799,571.067,130.68
272.723,224.734,434.03,82.6397
264.618,231.182,527.122,67.8201
213.292,224.99,532.936,75.7896
206.95,233.389,490.278,67.5829
208.874,223.036,531.816,66.1244
209.24,223.422,511.129,70.5488
255.315,224.53,528.233,66.3575
226.979,224.647,555.554,72.8544
208.323,230.109,472.757,70.0446
207.959,233.356,534.355,67.3936
236.126,226.587,524.886,68.6452
229.746,223.273,485.847,67.7567
207.356,257.443,472.926,68.1371
219.804,237.529,451.995,70.8439
215.489,263.288,471.618,79.396
211.686,224.651,441.889,70.2058
207.712,225.161,476.375,66.7532
209.406,223.863,450.941,67.657
205.942,232.783,487.247,75.9084
207.09,223.289,466.81,75.7578
207.913,224.334,526.175,69.0904
206.249,223.334,464.308,68.4788
217.884,224.24,491.139,68.1176
209.232,232.199,460.566,70.8868
214.462,224.26,504.267,66.2212
207.442,232.112,499.171,67.513
208.626,224.732,480.563,67.4673
208.814,230.974,487.863,67.4944
208.192,224.2,475.973,68.6261
209.645,245.979,479.107,68.6144
211.52,302.239,612.798,67.203
294.516,253.7,488.522,66.9527
279.868,264.643,474.508,67.0454
206.639,225.134,476.014,68.1138
209.123,223.352,508.759,66.11
219.18,224.486,468.961,66.667
219.092,224.078,467.673,69.1136
210.213,226.542,491.078,83.5953
207.398,230.467,473.661,67.1978
209.558,229.709,488.707,78.3718
208.42,226.937,472.886,81.3472
208.808,224.497,478.121,83.7119
217.474,235.371,478.706,86.9277
209.167,226.534,469.336,68.3627
220.155,228.351,468.492,68.7505
210.645,223.402,466.996,74.6792
213.966,225.476,480.421,72.4386
205.555,231.549,468.439,76.6281
214.901,225.039,482.077,67.5283
206.775,229.552,507.616,66.068
207.148,223.21,479.522,66.9834
208.391,223.158,479.927,67.5237
208.09,223.293,478.736,67.2916
214.606,223.968,469.243,68.2714
207.619,222.242,473.037,72.7704
214.634,238.89,483.603,66.7462
206.934,236.977,473.375,67.9287
214.03,256.796,566.234,66.8421
209.685,228.633,470.833,67.0007
207.153,222.698,485.423,70.1316
208.69,223.057,485.72,68.1586
210.622,224.607,464.238,68.4947
215.323,223.395,478.683,70.1476
210.554,222.606,464.935,71.3169
213.072,229.926,542.201,67.9996
206.82,230.484,464.93,72.9425
209.221,225.199,470.969,67.1033
209.971,228.234,473.231,68.0313
208.163,225.236,484.958,67.0413
208.698,223.248,484.449,67.4631
207.81,224.253,480.568,66.0479
217.672,225.603,475.503,79.4487
210.576,224.267,474.411,70.5759
213.893,224.751,479.998,80.0401
228.477,229.681,474.997,85.093
252.858,250.649,475.647,67.2337
209.871,222.519,467.565,68.0224
207.621,224.092,479.92,68.0257
207.641,222.815,480.261,66.0004
210.78,225.307,525.409,68.5263
214.559,231.91,474.925,73.1695
210.217,225.163,466.606,68.0183
213.981,226.006,478.97,67.3446
208.299,228.311,463.705,67.8025
216.404,227.531,470.366,67.3154
207.395,227.858,464.666,66.8087
207.679,224.289,481.235,66.3094
207.945,229.361,476.666,66.9457
216.047,223.325,480.96,68.1932
238.458,225.328,468.111,72.074
212.049,223.087,526.881,88.2374
212.388,227.311,530.109,85.354
206.676,228.457,557.322,81.6926
248.457,255.044,629.768,68.8059
237.53,242.53,546.467,68.0504
244.81,251.115,497.094,68.2075
214.46,223.879,472.808,66.4627
208.195,230.906,462.65,67.2682
210.187,223.204,471.697,67.4114
208.516,228.308,474.18,84.4866
211.621,223.381,472.884,76.291
208.579,224.65,474.847,75.3121
214.178,222.91,469.947,66.6783
214.105,225.193,475.543,68.9491
208.987,229.687,471.742,69.8348
215.47,224.551,468.033,84.3747
208.061,233.116,473.007,77.4586
210.915,224.055,537.485,68.4871
208.43,228.201,497.373,68.5007
213.862,224.675,473.479,66.9359
206.395,232.013,479.575,70.6155
214.093,228.128,467.551,67.6957
208.868,225.584,479.675,68.0789
215.629,223.413,477.089,67.2174
212.89,226.574,471.392,91.0184
206.57,230.901,483.26,85.862
212.079,223.31,472.936,72.356
208.644,230.646,472.989,66.8362
213.927,224.057,481.284,67.8979
206.386,228.113,479.747,71.6947
210.773,224.674,478.335,66.84
207.887,225.765,463.497,67.4976
213.028,226.099,471.466,67.3013
208.048,225.845,537.158,72.4837
209.462,229.115,475.28,66.6871
212.053,266.555,472.145,68.6936
211.05,227.909,478.746,67.2454
211.992,225.476,475.21,68.6643
207.236,225.014,472.533,67.0949
210.832,226.071,573.928,68.4023
208.365,271.963,505.346,67.2635
214.536,264.401,535.173,73.0226
208.034,266.562,477.263,68.8461
246.29,255.369,479.271,69.2544
246.065,246.215,472.254,68.1376
208.034,242.666,483.19,68.5226
215.568,225.082,518.79,68.5553
207.724,230.506,476.208,68.2975
221.506,235.958,477.025,67.7283
210.737,251.48,488.174,69.8436
214.644,227.399,591.83,72.7733
207.21,224.313,590.636,68.6542
209.516,226.298,538.563,67.7013
213.648,223.769,487.229,69.3519
215.805,223.729,446.895,76.2655
207.719,229.813,657.177,70.7264
207.148,223.001,538.915,69.6805
208.207,226.888,488.091,72.6166
209.224,223.596,446.238,68.5701
215.757,222.975,578.455,67.1601
215.81,223.889,534.538,66.8152
215.407,229.561,482.622,67.7629
208.583,223.7,452.61,67.8406
239.356,224.189,579.395,66.0917
217.488,225.322,544.029,67.4063
205.358,228.86,543.909,97.3004
268.637,223.061,450.189,68.7626
221.344,228.534,595.773,70.4421
208.457,225.185,541.041,66.0783
214.925,225.576,490.165,66.6963
208.109,232.177,444.536,70.0748
214.112,250.508,577.252,68.9146
214.2,223.927,750.951,113.11
212.489,231.803,903.504,114.31
206.916,246.345,780.627,112.768
287.29,218.548,557.13,52.4006
266.784,211.041,457.461,35.8536
260.195,203.349,381.163,37.2226
130.631,140.38,278.962,76.3233
148.766,134.717,610.095,80.0536
138.136,111.203,546.897,70.0272
216.673,287.455,549.041,68.6302
225.601,240.731,500.253,77.5454
220.232,256.321,514.737,92.3474
301.11,250.625,586.49,68.9001
221.021,228.756,472.771,69.0494
240.546,226.821,596.073,69.344
241.558,224.988,634.679,95.1483
286.965,238.06,530.704,77.5977
214.036,261.23,640.43,79.5428
247.917,322.785,806.641,114.513
265.654,334.087,713.889,93.308
316.008,364.266,599.049,93.136
246.95,240.473,593.617,80.0229
165.49,245.846,570.068,80.9887
183.807,244.176,559.256,74.5003
237.199,245.749,583.214,96.0227
223.492,255.852,581.981,92.015
240.088,257.428,658.24,92.4335
269.164,262.781,487.659,80.9033
339.506,318.962,548.104,72.1831
330.352,289.762,566.823,69.8119
241.005,233.689,734.463,91.1559
219.969,235.773,596.376,110.31
275.958,279.242,592.561,106.424
286.767,246.36,497.215,78.5812
274.335,245.681,565.989,81.0894
219.424,241.07,512.826,102.801
270.157,245.388,771.451,120.414
220.696,234.186,864.018,95.2801
279.08,228.377,813.52,121.935
324.068,231.911,493.689,68.7683
285.377,253.374,418.678,67.9288
255.905,233.21,492.878,66.4051
175.519,140.246,357.501,53.7828
177.454,156.758,342.642,55.0132
177.192,147.236,330.806,46.7097
144.237,130.183,304.016,27.4134
131.899,103.635,254.189,29.6574
111.787,116.375,230.024,29.4127
81.1112,81.8096,563.582,131.539
97.0282,187.667,668.053,122.214
93.8874,303.787,743.577,110.142
334.898,313.321,624.102,52.3512
340.886,320.668,450.012,49.4585
330.923,261.633,473.516,52.9516
166.83,246.475,612.334,105.717
166.397,243.528,741.086,82.225
233.389,231.222,700.845,75.8045
306.624,271.791,553.342,71.6298
340.404,261.524,474.977,57.0685
293.341,213.647,430.175,63.7308
169.103,158.865,295.18,69.3882
166.208,169.643,377.282,70.987
159.107,139.526,485.527,73.0785
233.422,240.683,578.544,69.8067
221.431,248.237,483.605,74.5706
218.63,239.905,573.053,68.4583
241.702,275.418,519.614,67.5396
282.353,269.16,550.993,87.5677
249.982,255.539,551.754,80.1571
234.826,246.97,516.844,114.233
259.001,239.724,556.187,95.8246
265.211,247.783,593.67,68.7742
243.333,249.943,566.97,92.5911
270.616,253.317,610.871,93.8338
296.613,295.853,552.05,84.0885
241.008,254.129,610.706,82.5787
232.637,252.931,610.533,88.9991
282.596,260.609,553.574,104.305
278.175,295.932,644.745,88.5824
231.899,251.362,666.248,86.2742
242.864,253.851,575.261,94.3605
271.698,265.75,586.021,87.047
245.177,265.11,537.169,73.064
245.964,258.69,569.937,81.2642
307.759,232.536,760.542,80.6592
332.212,267.808,543.351,81.0777
251.541,281.38,600.092,80.4303
248.518,228.692,542.623,99.2669
240.659,239.998,631.64,112.236
220.151,276.07,686.529,105.297
254.463,323.898,579.209,90.0358
313.419,294.202,585.256,88.2846
329.228,261.117,552.083,112.383
250.312,279.9,580.291,91.7745
230.632,268.369,798.711,110.299
228.197,254.72,708.113,107.951
257.407,256.727,564.682,69.7126
286.68,271.301,549.765,49.8444
268.563,283.422,371.741,56.8611
158.389,138.59,343.625,71.7216
138.63,156.563,304.996,69.2227
135.903,148.347,486.834,67.7133
209.734,237.454,470.184,72.8782
297.553,233.408,598.245,70.9424
218.935,255.836,547.846,104.395
280.361,234.851,588.244,90.9424
249.291,252.222,536.672,70.1514
240.077,282.495,633.636,76.8569
219.874,231.869,604.423,75.2512
223.798,243.126,536.19,83.8032
239.132,239.182,461.204,77.9766
